cliente_id,eta,anni_fedelta,distanza_pdv_km,formato_pdv,canale,uso_app,n_visite_mese,scontrino_medio,spesa_media_mensile,n_categorie,recency_giorni,pct_promozioni,reclami_12m,quota_freschi,quota_mdd,sensibilita_volantino,reparto_preferito,idx_zona_meteo,giorno_iscrizione_carta,punteggio_sondaggio,churn,spesa_prevista_12m
CN001386,45,1,5.1,Conad,negozio,0,3,25.66,85.49,3,40,0.338,2,0.51,0.428,0.464,bio_benessere,14.7,16,7,1,545.02
CN001387,48,8,2.8,Conad,online,1,7,41.73,304.49,12,7,0.465,0,0.676,0.436,0.699,pescheria,20.4,25,1,0,8859.48
CN001388,53,3,9.0,Conad Superstore,negozio,0,3,25.5,84.03,2,20,0.734,0,0.549,0.774,0.903,surgelati,20.9,11,2,1,1261.51
CN001389,51,12,1.0,Conad,online,1,7,42.37,324.54,6,8,0.309,0,0.641,0.427,0.312,macelleria,12.6,19,4,0,6382.25
CN001390,65,5,0.3,Conad Superstore,negozio,0,2,28.77,47.23,1,22,0.039,0,0.493,0.067,0.174,cura_casa,16.8,13,10,1,871.32
CN001391,40,1,3.0,Conad,misto,0,8,16.3,136.98,2,6,0.33,0,0.511,0.307,0.431,macelleria,20.4,6,3,0,1852.24
CN001392,52,0,2.1,Conad,negozio,1,2,44.14,102.71,6,32,0.422,0,0.704,0.588,0.597,gastronomia,8.6,25,5,1,1682.55
CN001393,85,11,6.1,Conad Superstore,negozio,0,2,30.57,63.61,1,24,0.363,0,0.506,0.383,0.573,cura_casa,17.1,25,6,1,959.7
CN001394,47,0,3.7,Conad City,negozio,0,2,28.04,51.92,3,31,0.202,0,0.481,0.377,0.346,gastronomia,14.4,14,7,1,760.3
CN001395,48,2,6.4,Conad Superstore,misto,0,7,17.05,130.64,4,12,0.663,0,0.546,0.609,0.836,dispensa,15.1,22,10,0,2794.27
CN001396,29,0,5.1,Conad,misto,1,2,47.89,85.36,6,6,0.404,0,0.759,0.464,0.483,macelleria,12.7,11,4,0,2128.22
CN001397,37,4,4.3,Conad,online,0,5,22.37,113.66,3,16,0.31,0,0.583,0.339,0.464,bio_benessere,10.9,5,8,0,2013.22
CN001398,46,5,1.0,Conad Superstore,negozio,0,4,29.32,123.89,3,16,0.179,0,0.637,0.289,0.259,gastronomia,11.7,12,3,0,2807.86
CN001399,56,1,0.5,Conad Superstore,negozio,0,3,43.56,160.94,5,18,0.112,0,0.706,0.138,0.055,gastronomia,10.4,9,9,0,2149.42
CN001400,58,7,1.1,Conad Superstore,negozio,1,2,25.67,57.62,2,20,0.458,0,0.582,0.482,0.552,surgelati,18.5,11,10,0,1298.31
CN001401,53,0,5.3,Conad,negozio,0,1,30.7,30.96,4,19,0.344,1,0.603,0.525,0.574,surgelati,12.5,9,0,0,893.83
CN001402,60,8,5.2,Conad,negozio,1,6,19.0,119.65,3,4,0.166,0,0.657,0.203,0.191,cura_persona,8.4,14,1,0,2130.62
CN001403,33,2,10.2,Conad,negozio,1,4,27.36,94.55,3,17,0.335,1,0.571,0.375,0.482,macelleria,19.1,8,1,1,1285.73
CN001404,55,4,2.0,Conad,negozio,0,2,17.99,35.53,1,13,0.444,0,0.581,0.32,0.469,gastronomia,6.5,3,6,0,641.28
CN001405,48,7,2.2,Conad City,misto,1,5,15.91,70.88,1,23,0.188,0,0.517,0.298,0.314,macelleria,17.3,23,5,0,1475.12
CN001406,50,0,1.5,Conad Superstore,negozio,0,5,44.45,277.26,1,12,0.233,0,0.831,0.33,0.143,ortofrutta,8.7,28,7,1,2837.04
CN001407,43,0,10.5,Conad,negozio,0,3,30.34,86.63,2,39,0.405,0,0.622,0.539,0.574,macelleria,9.1,19,1,1,637.5
CN001408,34,0,2.3,Conad City,negozio,0,2,32.21,59.32,3,38,0.298,2,0.548,0.365,0.357,dispensa,12.8,13,7,1,729.13
CN001409,30,4,3.1,Conad Superstore,misto,1,12,32.29,379.81,14,3,0.345,0,0.589,0.308,0.422,bio_benessere,17.9,9,2,0,9471.51
CN001410,53,6,0.7,Conad,negozio,0,4,28.31,126.24,3,13,0.21,0,0.56,0.33,0.266,gastronomia,15.0,18,6,0,1880.69
CN001411,55,2,2.9,Conad Superstore,negozio,0,2,32.42,63.72,1,66,0.372,0,0.621,0.389,0.466,cura_casa,14.3,6,1,1,408.32
CN001412,46,2,0.6,Conad City,negozio,1,6,44.92,259.04,4,7,0.671,0,0.684,0.635,0.877,macelleria,14.0,17,10,0,2918.73
CN001413,48,1,2.4,Conad Superstore,misto,1,2,18.37,36.64,1,20,0.391,0,0.522,0.511,0.601,macelleria,12.7,19,10,0,677.87
CN001414,37,5,2.4,Conad,negozio,0,6,32.19,203.54,4,21,0.301,0,0.736,0.397,0.403,dispensa,11.4,16,2,1,2986.64
CN001415,56,0,1.7,Conad City,negozio,1,8,31.79,229.11,7,22,0.343,0,0.666,0.459,0.458,macelleria,20.3,10,2,0,5189.73
CN001416,49,4,3.7,Conad,misto,0,1,22.86,24.97,2,8,0.752,0,0.482,0.714,0.905,cura_casa,13.7,18,0,0,960.26
CN001417,43,0,9.9,Conad,negozio,0,2,48.5,104.59,4,129,0.463,1,0.675,0.497,0.528,cura_persona,8.9,25,6,1,363.25
CN001418,61,2,0.6,Conad City,negozio,1,1,29.12,32.43,3,21,0.397,0,0.473,0.383,0.513,gastronomia,6.9,3,1,0,1049.95
CN001419,58,10,1.6,Conad,negozio,0,5,27.48,129.96,4,24,0.525,1,0.614,0.548,0.6,macelleria,19.1,15,4,1,2127.27
CN001420,25,9,1.0,Conad,online,1,7,22.25,155.27,3,4,0.223,0,0.711,0.489,0.455,macelleria,9.5,28,8,0,2855.12
CN001421,49,5,0.2,Conad,negozio,1,2,29.5,63.91,1,12,0.349,1,0.6,0.314,0.488,macelleria,18.3,6,3,0,1148.91
CN001422,34,0,3.6,Conad,misto,1,3,24.33,83.05,2,12,0.294,0,0.518,0.269,0.352,bio_benessere,12.0,3,1,1,1027.4
CN001423,50,5,1.9,Conad City,online,1,8,29.02,269.51,7,7,0.203,0,0.569,0.177,0.143,ortofrutta,15.6,22,3,0,4775.61
CN001424,18,0,15.2,Conad,negozio,0,2,43.96,82.12,1,23,0.49,0,0.745,0.409,0.643,macelleria,8.0,23,4,1,877.02
CN001425,51,1,7.0,Conad,negozio,1,3,30.61,91.59,2,8,0.33,0,0.682,0.438,0.668,bio_benessere,20.2,15,3,0,1315.02
CN001426,59,5,16.5,Conad City,negozio,0,5,6.56,32.0,2,7,0.402,0,0.474,0.324,0.391,bio_benessere,11.3,13,3,1,918.56
CN001427,46,2,0.2,Conad,negozio,0,3,34.78,116.76,3,10,0.539,0,0.606,0.642,0.83,pescheria,18.1,5,9,0,1660.36
CN001428,31,4,0.6,Conad City,online,0,6,33.24,197.32,5,10,0.196,1,0.664,0.361,0.22,gastronomia,8.7,25,2,0,2778.72
CN001429,77,5,0.2,Conad,online,1,6,32.93,215.28,7,11,0.1,0,0.704,0.119,0.01,pescheria,24.5,12,4,0,3247.17
CN001430,65,8,7.6,Conad Superstore,negozio,0,4,46.74,177.01,3,19,0.206,0,0.688,0.269,0.374,cura_casa,12.1,2,0,0,2099.78
CN001431,40,0,1.0,Conad City,negozio,0,2,12.63,21.53,1,62,0.157,0,0.345,0.089,0.064,bio_benessere,9.1,24,10,1,155.24
CN001432,44,4,0.8,Conad,negozio,1,6,14.72,86.01,3,9,0.413,0,0.57,0.513,0.582,pescheria,17.5,15,8,0,2873.85
CN001433,18,0,0.2,Conad City,negozio,0,5,9.1,43.44,4,19,0.27,0,0.531,0.241,0.197,cura_casa,17.1,9,5,1,1514.96
CN001434,55,7,0.3,Conad,misto,1,6,14.71,81.63,1,2,0.609,0,0.537,0.611,0.809,gastronomia,12.4,2,6,0,1249.73
CN001435,27,2,2.0,Conad Superstore,online,1,5,46.02,212.26,6,9,0.597,0,0.735,0.562,0.845,ortofrutta,20.3,14,0,0,4551.15
CN001436,58,10,2.6,Conad,negozio,0,9,27.65,215.74,5,8,0.218,0,0.524,0.242,0.204,macelleria,12.0,14,0,0,4085.85
CN001437,63,9,1.2,Conad Superstore,negozio,0,4,34.95,131.22,1,11,0.276,0,0.657,0.171,0.228,pescheria,18.7,8,2,0,1781.85
CN001438,47,3,7.9,Conad,negozio,1,3,5.0,13.86,1,19,0.471,0,0.368,0.539,0.607,cura_casa,15.7,27,6,1,798.39
CN001439,32,5,0.3,Conad City,misto,1,8,18.05,158.43,3,9,0.61,1,0.488,0.584,0.768,cura_casa,8.7,23,2,0,1952.38
CN001440,67,9,1.5,Conad,misto,1,3,48.66,137.38,7,3,0.004,0,0.623,0.147,0.111,bio_benessere,8.5,27,0,0,5245.45
CN001441,48,4,13.5,Conad City,misto,1,9,14.08,128.85,3,5,0.432,0,0.548,0.522,0.609,cura_persona,26.3,11,4,0,2552.64
CN001442,49,0,3.9,Conad,negozio,0,3,23.57,72.64,4,90,0.154,1,0.583,0.039,0.106,gastronomia,18.1,28,9,1,273.31
CN001443,34,0,3.3,Conad City,negozio,1,4,5.0,18.64,1,40,0.282,0,0.411,0.305,0.195,macelleria,12.0,8,1,1,519.02
CN001444,51,7,4.7,Conad City,negozio,1,6,39.59,297.81,5,3,0.497,0,0.592,0.738,0.907,pescheria,17.1,8,6,0,4531.38
CN001445,45,3,0.7,Conad City,negozio,1,2,17.34,36.79,3,39,0.883,0,0.476,0.765,0.974,dispensa,19.6,16,8,0,748.88
CN001446,28,5,2.4,Conad,negozio,1,1,31.75,32.63,1,9,0.369,0,0.571,0.239,0.469,bio_benessere,4.1,28,10,0,1119.22
CN001447,68,9,3.8,Conad Superstore,negozio,0,9,63.4,590.99,13,14,0.143,0,0.719,0.21,0.125,gastronomia,13.6,7,7,0,13205.34
CN001448,74,9,1.2,Conad,negozio,0,3,44.35,131.25,4,37,0.287,0,0.751,0.342,0.252,gastronomia,17.4,4,9,0,1973.32
CN001449,63,0,0.9,Conad City,negozio,0,2,12.48,23.25,1,48,0.413,0,0.54,0.502,0.524,cura_casa,14.6,27,6,0,235.03
CN001450,61,4,3.5,Conad Superstore,negozio,1,2,22.27,42.63,2,67,0.283,0,0.665,0.283,0.199,dispensa,13.4,14,1,1,403.01
CN001451,74,13,14.4,Conad City,negozio,1,7,23.05,151.66,4,4,0.175,0,0.49,0.202,0.246,pescheria,20.2,19,4,0,4529.58
CN001452,32,0,5.3,Conad City,negozio,1,5,23.93,112.99,4,33,0.227,0,0.497,0.266,0.267,gastronomia,14.8,16,5,0,1141.23
CN001453,32,1,10.2,Conad,negozio,0,4,20.82,84.77,4,55,0.436,0,0.606,0.569,0.563,bio_benessere,12.4,16,8,1,435.27
CN001454,42,2,3.3,Conad,online,1,2,29.85,49.25,2,16,0.219,0,0.591,0.383,0.377,surgelati,12.1,14,1,0,1824.98
CN001455,52,9,7.6,Conad,negozio,0,8,45.53,366.61,6,7,0.21,0,0.769,0.239,0.195,cura_casa,19.9,28,10,0,5130.45
CN001456,44,3,2.4,Conad,negozio,0,3,21.61,63.2,1,13,0.216,0,0.615,0.384,0.244,macelleria,21.7,11,4,0,1228.84
CN001457,33,0,0.6,Conad,negozio,0,3,52.67,162.72,3,20,0.285,0,0.818,0.314,0.363,macelleria,12.0,3,8,1,2100.18
CN001458,48,10,1.3,Conad,negozio,1,10,41.02,513.97,7,4,0.231,0,0.707,0.282,0.223,pescheria,12.5,25,7,0,6429.27
CN001459,47,2,2.4,Conad,misto,1,4,49.77,173.53,4,10,0.173,1,0.756,0.313,0.275,pescheria,19.0,22,2,0,2832.98
CN001460,61,3,4.0,Conad City,negozio,0,3,19.9,52.76,3,13,0.536,0,0.545,0.507,0.749,dispensa,16.8,14,9,1,896.5
CN001461,49,2,3.2,Conad City,negozio,1,2,40.85,80.78,3,39,0.242,0,0.591,0.345,0.44,pescheria,14.6,6,10,1,1089.87
CN001462,19,5,1.0,Conad,online,1,3,23.13,84.57,2,3,0.195,0,0.624,0.164,0.124,cura_persona,15.2,17,3,0,1702.15
CN001463,54,5,1.0,Conad Superstore,negozio,0,5,28.06,119.21,3,38,0.638,1,0.587,0.639,0.842,surgelati,19.6,7,8,1,983.62
CN001464,72,4,2.2,Conad,negozio,0,2,24.51,48.54,3,54,0.489,0,0.567,0.5,0.63,cura_persona,10.8,13,8,1,474.82
CN001465,48,0,4.2,Conad City,negozio,0,3,27.36,76.6,1,24,0.086,0,0.554,0.092,0.162,surgelati,14.9,5,9,1,610.24
CN001466,63,3,4.8,Conad City,negozio,0,2,22.59,44.78,2,13,0.264,0,0.415,0.196,0.328,cura_casa,12.6,19,5,0,697.41
CN001467,40,1,4.4,Conad,negozio,0,1,13.34,11.76,2,22,0.24,1,0.453,0.259,0.251,cura_persona,7.6,18,1,1,441.88
CN001468,56,4,0.9,Conad Superstore,negozio,0,1,5.35,5.18,1,65,0.463,0,0.597,0.64,0.757,pescheria,17.1,18,0,1,193.17
CN001469,37,0,4.8,Conad Superstore,negozio,1,2,15.53,32.54,2,22,0.293,0,0.487,0.284,0.443,cura_casa,13.1,7,8,0,656.66
CN001470,44,0,4.5,Conad City,negozio,0,3,5.0,14.16,1,24,0.248,0,0.489,0.419,0.563,cura_casa,20.1,23,2,0,548.75
CN001471,44,2,0.6,Conad,negozio,1,4,19.4,83.29,8,27,0.286,0,0.641,0.55,0.413,dispensa,13.0,7,9,0,2691.25
CN001472,55,6,5.6,Conad,negozio,1,8,33.56,324.19,1,2,0.14,0,0.802,0.198,0.066,macelleria,11.6,22,8,0,3398.55
CN001473,36,4,1.3,Conad,negozio,1,6,30.41,195.63,7,17,0.683,1,0.641,0.785,0.957,cura_casa,18.8,7,1,0,2764.21
CN001474,26,0,8.0,Conad,negozio,1,5,5.0,27.98,1,10,0.41,0,0.502,0.509,0.573,dispensa,7.1,23,1,0,770.03
CN001475,55,7,3.1,Conad,negozio,0,7,23.24,175.89,2,12,0.117,0,0.719,0.235,0.275,macelleria,20.6,26,10,0,2770.52
CN001476,54,5,8.4,Conad,negozio,0,3,22.47,65.11,1,13,0.371,1,0.506,0.498,0.532,pescheria,13.9,9,3,0,748.15
CN001477,50,7,1.1,Conad,negozio,0,7,52.84,302.98,6,9,0.537,0,0.797,0.592,0.852,dispensa,12.3,14,9,0,6735.34
CN001478,62,8,1.6,Conad,negozio,0,5,12.98,59.47,4,7,0.359,0,0.531,0.548,0.512,pescheria,27.0,4,1,0,2112.12
CN001479,45,4,0.2,Conad,negozio,1,6,26.12,173.05,3,23,0.633,1,0.614,0.705,0.901,surgelati,13.6,28,1,0,2307.83
CN001480,52,13,4.1,Conad,misto,1,14,52.16,648.1,15,2,0.934,0,0.812,0.9,0.988,cura_casa,-1.5,20,9,0,18000.0
CN001481,43,7,1.0,Conad City,negozio,1,5,30.26,149.39,4,3,0.338,0,0.744,0.409,0.502,pescheria,19.8,24,8,0,3174.49
CN001482,44,4,2.9,Conad,negozio,1,5,35.01,175.56,5,48,0.297,0,0.653,0.264,0.342,ortofrutta,17.8,8,9,0,1309.07
CN001483,53,4,7.2,Conad,negozio,0,2,34.91,62.89,1,7,0.179,0,0.54,0.273,0.262,surgelati,5.7,5,6,1,1465.7
CN001484,82,5,3.7,Conad Superstore,negozio,0,1,38.52,45.07,2,16,0.045,0,0.642,0.118,0.071,cura_persona,22.5,6,10,1,1183.66
CN001485,59,4,12.7,Conad City,negozio,1,6,29.55,186.86,8,20,0.639,0,0.627,0.595,0.856,surgelati,19.7,3,9,0,3780.06
CN001486,56,0,7.8,Conad,negozio,0,5,21.27,124.05,3,68,0.333,0,0.499,0.302,0.397,bio_benessere,16.6,28,10,1,422.43
CN001487,60,1,2.8,Conad,negozio,0,4,29.14,131.93,3,20,0.511,1,0.701,0.557,0.671,gastronomia,16.4,12,1,1,1043.27
CN001488,18,0,4.3,Conad,negozio,0,4,8.29,36.12,5,6,0.58,0,0.34,0.605,0.803,dispensa,13.1,19,6,0,1190.45
CN001489,53,7,2.2,Conad City,negozio,1,5,28.93,120.8,4,5,0.132,0,0.594,0.252,0.157,pescheria,17.1,28,4,0,3478.64
CN001490,62,10,3.3,Conad,negozio,1,2,33.32,59.82,3,5,0.1,0,0.576,0.161,0.139,bio_benessere,20.7,27,8,0,2120.91
CN001491,49,8,13.4,Conad,negozio,1,5,17.33,86.87,4,5,0.866,0,0.483,0.665,0.927,dispensa,8.3,7,0,0,2744.44
CN001492,47,4,1.8,Conad City,negozio,0,8,22.92,180.02,3,13,0.391,0,0.653,0.315,0.483,ortofrutta,13.7,15,9,0,1784.81
CN001493,34,1,4.2,Conad City,negozio,1,6,12.64,72.2,8,5,0.224,0,0.465,0.259,0.305,cura_casa,3.7,12,8,0,2098.8
CN001494,41,6,7.4,Conad,negozio,1,1,11.65,11.58,3,11,0.18,0,0.478,0.132,0.185,gastronomia,8.1,3,4,0,1026.56
CN001495,35,5,0.2,Conad,online,1,5,24.32,158.87,4,4,0.291,0,0.631,0.353,0.375,ortofrutta,14.9,19,4,0,3038.89
CN001496,63,10,0.6,Conad Superstore,negozio,0,5,29.09,144.43,6,7,0.635,1,0.605,0.738,0.88,macelleria,20.6,2,3,0,2933.33
CN001497,71,8,0.2,Conad,negozio,0,3,35.09,102.69,3,19,0.495,0,0.661,0.519,0.688,gastronomia,13.8,22,4,0,2154.87
CN001498,77,8,1.7,Conad City,negozio,0,3,13.48,40.45,2,9,0.311,1,0.56,0.505,0.517,dispensa,15.5,6,2,0,971.35
CN001499,35,10,1.1,Conad City,online,1,8,32.92,276.37,5,3,0.676,0,0.59,0.717,0.904,cura_casa,17.6,27,6,0,4862.54
CN001500,38,2,1.0,Conad City,negozio,1,3,5.0,15.73,2,24,0.645,0,0.391,0.634,0.86,dispensa,13.2,8,6,1,764.05
CN001501,37,3,3.1,Conad,negozio,0,4,19.2,77.71,2,23,0.385,0,0.577,0.353,0.587,cura_persona,15.4,24,1,1,1131.26
CN001502,33,0,1.5,Conad,misto,0,5,19.51,91.37,1,14,0.77,2,0.637,0.9,1.0,dispensa,11.7,26,10,1,1266.03
CN001503,33,0,5.2,Conad,negozio,0,6,34.57,192.74,3,7,0.387,0,0.705,0.242,0.394,pescheria,16.6,23,9,0,2440.02
CN001504,40,0,2.4,Conad City,negozio,1,2,16.85,33.32,5,35,0.604,0,0.454,0.622,0.854,pescheria,12.5,18,10,0,880.95
CN001505,61,8,2.6,Conad,negozio,0,8,12.73,97.28,1,6,0.224,0,0.611,0.262,0.418,cura_persona,5.8,13,7,0,1557.3
CN001506,37,1,0.7,Conad City,online,0,1,23.17,20.81,1,9,0.574,0,0.548,0.581,0.715,bio_benessere,16.6,28,1,0,696.87
CN001507,64,12,4.7,Conad City,negozio,0,7,5.0,30.66,4,3,0.296,0,0.426,0.375,0.423,bio_benessere,22.0,28,10,0,2306.23
CN001508,69,9,3.2,Conad Superstore,negozio,1,6,37.26,238.74,3,15,0.504,1,0.664,0.566,0.735,dispensa,8.0,27,3,0,2583.62
CN001509,52,1,2.0,Conad Superstore,negozio,0,4,53.93,190.55,5,27,0.788,2,0.849,0.9,0.928,ortofrutta,11.7,26,0,1,1732.71
CN001510,66,7,4.7,Conad,misto,1,1,36.24,37.21,1,12,0.526,0,0.527,0.497,0.715,surgelati,18.7,24,5,1,1640.26
CN001511,28,1,2.4,Conad City,online,1,5,24.51,147.05,6,8,0.516,0,0.451,0.505,0.691,cura_casa,12.8,22,8,0,2309.28
CN001512,40,6,3.0,Conad Superstore,misto,1,9,27.78,207.23,9,4,0.222,1,0.714,0.289,0.224,ortofrutta,21.4,20,8,0,6989.53
CN001513,51,3,6.9,Conad,negozio,0,1,29.71,29.52,4,21,0.431,0,0.624,0.417,0.516,surgelati,6.9,14,0,0,809.22
CN001514,51,3,4.6,Conad City,negozio,1,3,5.0,14.03,1,20,0.245,0,0.536,0.21,0.224,dispensa,9.9,15,5,1,694.3
CN001515,69,7,0.4,Conad Superstore,negozio,0,6,13.77,80.91,1,8,0.665,1,0.622,0.502,0.831,pescheria,12.9,24,4,0,1228.14
CN001516,33,1,0.4,Conad City,negozio,1,3,20.37,53.93,4,11,0.522,0,0.637,0.623,0.791,gastronomia,19.0,24,8,0,1419.73
CN001517,40,0,3.4,Conad City,negozio,0,1,5.0,5.0,1,23,0.412,0,0.484,0.349,0.492,bio_benessere,20.2,6,10,0,324.07
CN001518,47,6,1.0,Conad,misto,1,5,43.28,238.61,5,5,0.694,0,0.734,0.734,0.941,cura_casa,15.5,21,7,0,3757.91
CN001519,40,7,0.5,Conad City,negozio,0,5,15.23,84.5,2,15,0.691,0,0.553,0.682,0.942,gastronomia,15.4,4,8,0,1896.46
CN001520,32,4,8.9,Conad,negozio,0,11,5.0,55.66,4,2,0.472,0,0.494,0.451,0.571,dispensa,10.8,11,9,0,2136.5
CN001521,41,0,3.5,Conad,negozio,0,3,6.47,17.38,2,22,0.505,1,0.495,0.505,0.69,cura_casa,18.1,9,5,1,567.16
CN001522,44,5,1.0,Conad Superstore,negozio,1,5,5.0,24.35,3,17,0.208,0,0.442,0.253,0.227,dispensa,15.2,1,5,0,1481.89
CN001523,70,13,2.3,Conad,negozio,0,3,36.2,130.89,3,9,0.288,0,0.718,0.302,0.383,macelleria,8.3,10,3,0,2954.2
CN001524,33,2,1.6,Conad City,negozio,0,5,14.09,67.06,3,36,0.134,0,0.548,0.206,0.093,bio_benessere,18.9,20,0,1,932.96
CN001525,60,9,0.3,Conad,negozio,1,3,27.27,105.7,3,4,0.262,0,0.478,0.302,0.262,gastronomia,9.8,12,5,0,1925.61
CN001526,67,9,9.3,Conad,online,1,5,45.3,233.66,6,6,0.307,0,0.582,0.378,0.426,macelleria,15.6,19,4,0,4076.72
CN001527,40,4,8.7,Conad,misto,0,6,38.83,230.87,5,7,0.013,0,0.687,0.042,0.115,pescheria,11.4,10,9,0,2377.13
CN001528,52,8,6.1,Conad Superstore,negozio,0,1,34.64,34.34,1,5,0.436,0,0.574,0.464,0.591,cura_persona,12.0,16,5,0,1205.82
CN001529,57,8,2.2,Conad,negozio,0,2,5.0,9.52,2,24,0.519,2,0.537,0.546,0.831,dispensa,17.8,10,2,1,524.09
CN001530,54,4,0.5,Conad Superstore,negozio,0,7,30.31,205.13,3,20,0.256,0,0.639,0.357,0.437,macelleria,13.6,28,6,0,2753.5
CN001531,49,0,3.7,Conad,misto,0,5,33.11,183.22,4,8,0.0,0,0.596,0.018,0.096,bio_benessere,14.0,7,7,0,2482.49
CN001532,38,1,4.5,Conad Superstore,negozio,1,3,37.21,130.84,1,27,0.348,0,0.7,0.311,0.452,macelleria,14.4,3,3,1,1110.41
CN001533,58,7,1.0,Conad Superstore,negozio,1,10,44.82,407.19,7,4,0.038,0,0.839,0.256,0.093,ortofrutta,20.0,12,4,0,9251.93
CN001534,42,3,0.9,Conad City,negozio,0,3,14.17,43.44,1,6,0.255,0,0.465,0.252,0.288,surgelati,12.7,7,6,0,1120.15
CN001535,48,1,3.6,Conad,misto,0,7,48.32,276.92,5,18,0.616,0,0.736,0.612,0.924,pescheria,10.6,17,10,0,3376.64
CN001536,51,10,3.5,Conad,misto,0,9,8.83,71.63,1,4,0.018,0,0.527,0.083,0.019,surgelati,11.3,28,3,0,2243.87
CN001537,61,5,0.6,Conad,negozio,0,5,31.58,163.39,6,7,0.208,1,0.708,0.226,0.22,surgelati,10.4,27,3,0,2722.07
CN001538,77,7,3.1,Conad,negozio,1,2,5.78,11.74,4,17,0.589,0,0.269,0.609,0.74,dispensa,11.2,2,3,0,1043.09
CN001539,37,0,6.5,Conad Superstore,online,1,3,26.04,84.81,1,22,0.218,0,0.666,0.355,0.219,pescheria,3.4,28,4,0,720.06
CN001540,49,3,0.7,Conad City,negozio,1,8,41.5,335.58,5,8,0.118,1,0.688,0.32,0.265,macelleria,16.6,5,5,0,4732.81
CN001541,26,6,1.1,Conad Superstore,online,1,10,37.12,366.29,6,4,0.788,2,0.647,0.782,0.943,dispensa,18.1,27,10,0,6535.05
CN001542,70,10,0.5,Conad Superstore,negozio,0,3,50.11,122.68,3,9,0.371,1,0.725,0.45,0.633,bio_benessere,15.7,26,6,1,3202.93
CN001543,49,5,4.2,Conad City,negozio,1,7,17.42,122.89,2,7,0.543,0,0.519,0.605,0.763,cura_persona,14.0,19,8,0,1558.42
CN001544,44,5,1.5,Conad City,misto,1,10,20.24,202.98,5,6,0.429,0,0.546,0.452,0.651,dispensa,19.7,4,0,0,3675.67
CN001545,49,6,2.6,Conad,negozio,1,7,37.92,231.87,8,7,0.415,0,0.693,0.453,0.544,bio_benessere,14.6,7,3,0,6402.97
CN001546,50,5,1.4,Conad City,negozio,1,3,25.96,76.74,2,7,0.692,0,0.553,0.714,0.884,cura_casa,15.9,16,8,0,2074.33
CN001547,37,5,1.3,Conad,misto,1,7,9.52,67.76,3,3,0.787,1,0.436,0.776,1.0,dispensa,24.0,21,10,0,1772.13
CN001548,66,10,0.7,Conad,negozio,1,5,20.78,113.89,2,4,0.0,0,0.536,0.188,0.03,bio_benessere,18.7,4,9,0,2616.46
CN001549,58,2,2.9,Conad Superstore,negozio,0,1,42.74,51.3,1,8,0.357,0,0.726,0.42,0.473,macelleria,14.2,2,10,0,1124.44
CN001550,60,2,1.8,Conad City,online,0,5,24.93,107.45,6,8,0.407,0,0.435,0.387,0.458,bio_benessere,14.7,13,10,0,2460.29
CN001551,38,6,6.3,Conad,misto,1,12,6.85,71.35,2,2,0.325,0,0.544,0.281,0.368,pescheria,16.3,8,5,0,3170.59
CN001552,37,3,3.5,Conad Superstore,negozio,0,8,26.48,184.51,3,16,0.563,0,0.474,0.692,0.808,surgelati,14.6,9,10,0,2412.3
CN001553,46,3,2.4,Conad,misto,1,4,21.2,87.15,1,16,0.317,0,0.465,0.583,0.58,dispensa,2.1,23,4,0,1213.4
CN001554,60,9,1.8,Conad City,negozio,0,1,27.1,23.9,2,7,0.791,2,0.581,0.729,0.899,dispensa,19.7,19,4,1,1106.4
CN001555,56,2,0.3,Conad City,negozio,1,3,10.11,30.17,2,29,0.519,0,0.417,0.662,0.851,cura_persona,17.3,16,2,0,929.27
CN001556,36,0,3.0,Conad,negozio,0,2,12.08,25.26,3,30,0.688,0,0.579,0.728,0.837,ortofrutta,13.5,8,10,0,566.73
CN001557,58,7,2.6,Conad,online,0,7,23.33,141.66,7,9,0.214,0,0.561,0.19,0.203,bio_benessere,22.6,20,4,0,4078.23
CN001558,33,2,8.1,Conad City,negozio,1,5,31.89,161.09,6,32,0.15,0,0.647,0.222,0.211,ortofrutta,15.8,13,4,1,2007.86
CN001559,38,1,1.1,Conad,negozio,0,6,28.9,180.03,5,5,0.215,0,0.743,0.296,0.21,ortofrutta,15.2,21,8,0,2375.43
CN001560,50,7,14.0,Conad,negozio,0,4,21.07,71.79,4,11,0.611,0,0.561,0.636,0.912,gastronomia,7.3,18,3,1,1712.53
CN001561,30,3,1.2,Conad City,online,1,8,16.69,124.85,6,2,0.151,0,0.291,0.176,0.15,bio_benessere,17.7,19,10,0,2803.6
CN001562,34,5,3.0,Conad,negozio,0,8,22.77,162.73,6,12,0.18,0,0.658,0.338,0.242,cura_persona,12.7,21,9,0,3515.75
CN001563,71,7,3.3,Conad,negozio,0,3,14.42,42.95,2,20,0.073,0,0.472,0.143,0.14,cura_persona,12.5,16,8,0,1083.6
CN001564,68,7,3.3,Conad,negozio,0,3,10.05,27.16,2,45,0.843,2,0.548,0.8,0.939,gastronomia,13.1,2,7,1,605.86
CN001565,82,12,0.4,Conad,negozio,0,5,18.95,130.23,7,17,0.272,1,0.518,0.374,0.438,macelleria,17.7,17,6,0,2869.68
CN001566,55,6,0.6,Conad City,negozio,0,3,12.46,39.16,1,13,0.426,0,0.55,0.618,0.608,dispensa,22.2,11,8,0,795.53
